|======================Sat Nov 29 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
10:48:03:096 | PARSED-STRING: Mod1CellVoltage4:3895
             | RAW-STRING   : #313895

10:48:03:144 | PARSED-STRING: Mod1CellVoltage5:3905
             | RAW-STRING   : #323905

10:48:03:192 | PARSED-STRING: Mod1CellVoltage6:3915
             | RAW-STRING   : #333915

10:48:03:272 | PARSED-STRING: Mod1CellVoltage7:3905
             | RAW-STRING   : #343905

10:48:03:336 | PARSED-STRING: Mod2PcbTemperature:3915
             | RAW-STRING   : #353915

10:48:03:400 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

10:48:03:464 | PARSED-STRING: Mod2CellVoltage0:178
             | RAW-STRING   : #37178

10:48:03:528 | PARSED-STRING: Mod2CellVoltage1:3893
             | RAW-STRING   : #383893

10:48:03:592 | PARSED-STRING: Mod2CellVoltage2:3894
             | RAW-STRING   : #393894

10:48:03:640 | PARSED-STRING: Mod2CellVoltage3:3893
             | RAW-STRING   : #403893

10:48:03:704 | PARSED-STRING: Mod2CellVoltage4:3894
             | RAW-STRING   : #413894

10:48:03:768 | PARSED-STRING: Mod2CellVoltage5:3895
             | RAW-STRING   : #423895

10:48:03:848 | PARSED-STRING: Mod2CellVoltage6:3876
             | RAW-STRING   : #433876

10:48:03:896 | PARSED-STRING: Mod2CellVoltage7:3895
             | RAW-STRING   : #443895

10:48:03:960 | PARSED-STRING: Mod3PcbTemperature:3876
             | RAW-STRING   : #453876

10:48:04:024 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

10:48:04:088 | PARSED-STRING: Mod3CellVoltage0:182
             | RAW-STRING   : #47182

10:48:04:152 | PARSED-STRING: Mod3CellVoltage1:3887
             | RAW-STRING   : #483887

10:48:04:200 | PARSED-STRING: Mod3CellVoltage2:3890
             | RAW-STRING   : #493890

10:48:04:280 | PARSED-STRING: Mod3CellVoltage3:3887
             | RAW-STRING   : #503887

10:48:04:344 | PARSED-STRING: Mod3CellVoltage4:3890
             | RAW-STRING   : #513890

10:48:04:408 | PARSED-STRING: Mod3CellVoltage5:3893
             | RAW-STRING   : #523893

10:48:04:456 | PARSED-STRING: Mod3CellVoltage6:3914
             | RAW-STRING   : #533914

10:48:04:520 | PARSED-STRING: Mod3CellVoltage7:3893
             | RAW-STRING   : #543893

10:48:04:568 | PARSED-STRING: BatteryVoltage:3914
             | RAW-STRING   : #553914

10:48:04:648 | PARSED-STRING: BatteryCurrent:37368
             | RAW-STRING   : #5637368

10:48:04:712 | PARSED-STRING: BatteryVoltageThresholdRising:25
             | RAW-STRING   : #5725

10:48:04:776 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

10:48:04:824 | PARSED-STRING: 57279619
             | RAW-STRING   : #5957279619

10:48:04:968 | PARSED-STRING: 0
             | RAW-STRING   : #000

10:48:05:016 | PARSED-STRING: DriverSetSpeedRPM:0
             | RAW-STRING   : #010

10:48:05:080 | PARSED-STRING: DriverSetCurrent:10799
             | RAW-STRING   : #0210799

10:48:05:144 | PARSED-STRING: VehicleVelocity:0
             | RAW-STRING   : #030

10:48:05:224 | PARSED-STRING: BusCurrentA:27142
             | RAW-STRING   : #0427142

10:48:05:272 | PARSED-STRING: BusVoltage:105123
             | RAW-STRING   : #05105123

10:48:05:336 | PARSED-STRING: MotorVelocityRpm:137
             | RAW-STRING   : #06137

10:48:05:400 | PARSED-STRING: MotorVoltageReal:0
             | RAW-STRING   : #070

10:48:05:464 | PARSED-STRING: MotorCurrentReal:7146
             | RAW-STRING   : #087146

10:48:05:528 | PARSED-STRING: BackEmfImaginary:29777
             | RAW-STRING   : #0929777

10:48:05:576 | PARSED-STRING: DspBoardTemp:31672
             | RAW-STRING   : #1131672

