|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
20:43:32:055 | PARSED-STRING: Mod1CellVoltage1:3858
             | RAW-STRING   : #283858

20:43:32:103 | PARSED-STRING: Mod1CellVoltage2:3807
             | RAW-STRING   : #293807

20:43:32:167 | PARSED-STRING: Mod1CellVoltage3:3858
             | RAW-STRING   : #303858

20:43:32:214 | PARSED-STRING: Mod1CellVoltage4:3807
             | RAW-STRING   : #313807

20:43:32:295 | PARSED-STRING: Mod1CellVoltage5:3864
             | RAW-STRING   : #323864

20:43:32:359 | PARSED-STRING: Mod1CellVoltage6:-3870
             | RAW-STRING   : #33-3870

20:43:32:407 | PARSED-STRING: Mod1CellVoltage7:3864
             | RAW-STRING   : #343864

20:43:32:486 | PARSED-STRING: Mod2PcbTemperature:-3870
             | RAW-STRING   : #35-3870

20:43:32:534 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:43:32:599 | PARSED-STRING: Mod2CellVoltage0:176
             | RAW-STRING   : #37176

20:43:32:679 | PARSED-STRING: Mod2CellVoltage1:3850
             | RAW-STRING   : #383850

20:43:32:726 | PARSED-STRING: Mod2CellVoltage2:3852
             | RAW-STRING   : #393852

20:43:32:807 | PARSED-STRING: Mod2CellVoltage3:3850
             | RAW-STRING   : #403850

20:43:32:855 | PARSED-STRING: Mod2CellVoltage4:3852
             | RAW-STRING   : #413852

20:43:32:918 | PARSED-STRING: Mod2CellVoltage5:3790
             | RAW-STRING   : #423790

20:43:32:982 | PARSED-STRING: Mod2CellVoltage6:3834
             | RAW-STRING   : #433834

20:43:33:046 | PARSED-STRING: Mod2CellVoltage7:3790
             | RAW-STRING   : #443790

20:43:33:110 | PARSED-STRING: Mod3PcbTemperature:3834
             | RAW-STRING   : #453834

20:43:33:158 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

20:43:33:238 | PARSED-STRING: Mod3CellVoltage0:181
             | RAW-STRING   : #47181

20:43:33:286 | PARSED-STRING: Mod3CellVoltage1:3845
             | RAW-STRING   : #483845

20:43:33:351 | PARSED-STRING: Mod3CellVoltage2:3845
             | RAW-STRING   : #493845

20:43:33:414 | PARSED-STRING: Mod3CellVoltage3:3845
             | RAW-STRING   : #503845

20:43:33:478 | PARSED-STRING: Mod3CellVoltage4:3845
             | RAW-STRING   : #513845

20:43:33:542 | PARSED-STRING: Mod3CellVoltage5:3848
             | RAW-STRING   : #523848

20:43:33:590 | PARSED-STRING: Mod3CellVoltage6:3804
             | RAW-STRING   : #533804

20:43:33:670 | PARSED-STRING: Mod3CellVoltage7:3848
             | RAW-STRING   : #543848

20:43:33:718 | PARSED-STRING: BatteryVoltage:3804
             | RAW-STRING   : #553804

20:43:33:798 | PARSED-STRING: BatteryCurrent:122121
             | RAW-STRING   : #56122121

20:43:33:846 | PARSED-STRING: BatteryVoltageThresholdRising:-25412
             | RAW-STRING   : #57-25412

20:43:33:910 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

20:43:33:989 | PARSED-STRING: 57279624
             | RAW-STRING   : #5957279624

20:43:34:101 | PARSED-STRING: 234774
             | RAW-STRING   : #00234774

20:43:34:150 | PARSED-STRING: DriverSetSpeedRPM:817
