|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
             | RAW-STRING   : #57-3353

20:30:02:446 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

20:30:02:510 | PARSED-STRING: 57279616
             | RAW-STRING   : #5957279616

20:30:02:638 | PARSED-STRING: 200586
             | RAW-STRING   : #00200586

20:30:02:718 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

20:30:02:766 | PARSED-STRING: DriverSetCurrent:20585
             | RAW-STRING   : #0220585

20:30:02:830 | PARSED-STRING: VehicleVelocity:5802
             | RAW-STRING   : #035802

20:30:02:894 | PARSED-STRING: BusCurrentA:123606
             | RAW-STRING   : #04123606

20:30:02:942 | PARSED-STRING: BusVoltage:200382
             | RAW-STRING   : #05200382

20:30:03:022 | PARSED-STRING: MotorVelocityRpm:667
             | RAW-STRING   : #06667

20:30:03:070 | PARSED-STRING: MotorVoltageReal:-8
             | RAW-STRING   : #07-8

20:30:03:150 | PARSED-STRING: MotorCurrentReal:10826
             | RAW-STRING   : #0810826

20:30:03:213 | PARSED-STRING: BackEmfImaginary:27756
             | RAW-STRING   : #0927756

20:30:03:262 | PARSED-STRING: DspBoardTemp:31045
             | RAW-STRING   : #1131045

20:30:03:342 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

20:30:03:405 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

20:30:03:453 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

20:30:03:534 | PARSED-STRING: Mod0CellVoltage0:160
             | RAW-STRING   : #17160

20:30:03:582 | PARSED-STRING: Mod0CellVoltage1:3891
             | RAW-STRING   : #183891

20:30:03:645 | PARSED-STRING: Mod0CellVoltage2:3897
             | RAW-STRING   : #193897

20:30:03:762 | PARSED-STRING: Mod0PcbTemperature:3891
             | RAW-STRING   : #203891

20:30:03:762 | PARSED-STRING: Mod0CellVoltage4:3897
             | RAW-STRING   : #213897

