|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
20:22:48:293 | PARSED-STRING: Mod3CellVoltage3:3859
             | RAW-STRING   : #503859

20:22:48:357 | PARSED-STRING: Mod3CellVoltage4:3910
             | RAW-STRING   : #513910

20:22:48:421 | PARSED-STRING: Mod3CellVoltage5:3914
             | RAW-STRING   : #523914

20:22:48:485 | PARSED-STRING: Mod3CellVoltage6:3962
             | RAW-STRING   : #533962

20:22:48:581 | PARSED-STRING: Mod3CellVoltage7:3914
             | RAW-STRING   : #543914

20:22:48:612 | PARSED-STRING: BatteryVoltage:3962
             | RAW-STRING   : #553962

20:22:48:677 | PARSED-STRING: BatteryCurrent:125174
             | RAW-STRING   : #56125174

20:22:48:724 | PARSED-STRING: BatteryVoltageThresholdRising:9420
             | RAW-STRING   : #579420

20:22:48:789 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

20:22:48:868 | PARSED-STRING: 57279624
             | RAW-STRING   : #5957279624

20:22:48:996 | PARSED-STRING: 200830
             | RAW-STRING   : #00200830

20:22:49:044 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

20:22:49:108 | PARSED-STRING: DriverSetCurrent:21190
             | RAW-STRING   : #0221190

20:22:49:172 | PARSED-STRING: VehicleVelocity:3875
             | RAW-STRING   : #033875

20:22:49:236 | PARSED-STRING: BusCurrentA:123896
             | RAW-STRING   : #04123896

20:22:49:300 | PARSED-STRING: BusVoltage:206273
             | RAW-STRING   : #05206273

20:22:49:348 | PARSED-STRING: MotorVelocityRpm:454
             | RAW-STRING   : #06454

20:22:49:411 | PARSED-STRING: MotorVoltageReal:11
             | RAW-STRING   : #0711

20:22:49:492 | PARSED-STRING: MotorCurrentReal:11140
             | RAW-STRING   : #0811140

20:22:49:540 | PARSED-STRING: BackEmfImaginary:27485
             | RAW-STRING   : #0927485

20:22:49:604 | PARSED-STRING: DspBoardTemp:30991
             | RAW-STRING   : #1130991

20:22:49:683 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

20:22:49:716 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

20:22:49:796 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

20:22:49:860 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

20:22:49:924 | PARSED-STRING: Mod0CellVoltage1:3902
             | RAW-STRING   : #183902

20:22:49:987 | PARSED-STRING: Mod0CellVoltage2:3904
             | RAW-STRING   : #193904

20:22:50:035 | PARSED-STRING: Mod0PcbTemperature:3902
             | RAW-STRING   : #203902

20:22:50:100 | PARSED-STRING: Mod0CellVoltage4:3904
             | RAW-STRING   : #213904

20:22:50:163 | PARSED-STRING: Mod0CellVoltage5:3914
             | RAW-STRING   : #223914

20:22:50:227 | PARSED-STRING: Mod0CellVoltage6:3909
             | RAW-STRING   : #233909

20:22:50:307 | PARSED-STRING: Mod0CellVoltage7:3914
             | RAW-STRING   : #243914

20:22:50:355 | PARSED-STRING: Mod1PcbTemperature:3909
             | RAW-STRING   : #253909

20:22:50:419 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

20:22:50:483 | PARSED-STRING: Mod1CellVoltage0:166
             | RAW-STRING   : #27166

20:22:50:547 | PARSED-STRING: Mod1CellVoltage1:3903
             | RAW-STRING   : #283903

20:22:50:611 | PARSED-STRING: Mod1CellVoltage2:3898
             | RAW-STRING   : #293898

20:22:50:659 | PARSED-STRING: Mod1CellVoltage3:3903
             | RAW-STRING   : #303903

20:22:50:739 | PARSED-STRING: Mod1CellVoltage4:3890
             | RAW-STRING   : #313890

20:22:50:787 | PARSED-STRING: Mod1CellVoltage5:3903
             | RAW-STRING   : #323903

20:22:50:850 | PARSED-STRING: Mod1CellVoltage6:3913
             | RAW-STRING   : #333913

20:22:50:915 | PARSED-STRING: Mod1CellVoltage7:3903
             | RAW-STRING   : #343903

20:22:50:979 | PARSED-STRING: Mod2PcbTemperature:3913
             | RAW-STRING   : #353913

20:22:51:043 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:22:51:107 | PARSED-STRING: Mod2CellVoltage0:176
             | RAW-STRING   : #37176

20:22:51:186 | PARSED-STRING: Mod2CellVoltage1:3899
             | RAW-STRING   : #383899

20:22:51:219 | PARSED-STRING: Mod2CellVoltage2:3897
             | RAW-STRING   : #393897

20:22:51:298 | PARSED-STRING: Mod2CellVoltage3:3899
             | RAW-STRING   : #403899

20:22:51:363 | PARSED-STRING: Mod2CellVoltage4:3897
             | RAW-STRING   : #413897

20:22:51:427 | PARSED-STRING: Mod2CellVoltage5:3897
             | RAW-STRING   : #423897

20:22:51:491 | PARSED-STRING: Mod2CellVoltage6:3878
             | RAW-STRING   : #433878

20:22:51:554 | PARSED-STRING: Mod2CellVoltage7:3897
             | RAW-STRING   : #443897

20:22:51:602 | PARSED-STRING: Mod3PcbTemperature:3878
             | RAW-STRING   : #453878

20:22:51:682 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

20:22:51:730 | PARSED-STRING: Mod3CellVoltage0:180
             | RAW-STRING   : #47180

20:22:51:794 | PARSED-STRING: Mod3CellVoltage1:3887
             | RAW-STRING   : #483887

20:22:51:858 | PARSED-STRING: Mod3CellVoltage2:3889
             | RAW-STRING   : #493889

20:22:51:922 | PARSED-STRING: Mod3CellVoltage3:3887
             | RAW-STRING   : #503887

20:22:51:986 | PARSED-STRING: Mod3CellVoltage4:3889
             | RAW-STRING   : #513889

20:22:52:050 | PARSED-STRING: Mod3CellVoltage5:3891
             | RAW-STRING   : #523891

20:22:52:098 | PARSED-STRING: Mod3CellVoltage6:3903
             | RAW-STRING   : #533903

20:22:52:178 | PARSED-STRING: Mod3CellVoltage7:3891
             | RAW-STRING   : #543891

20:22:52:226 | PARSED-STRING: BatteryVoltage:3903
             | RAW-STRING   : #553903

20:22:52:306 | PARSED-STRING: BatteryCurrent:124157
             | RAW-STRING   : #56124157

20:22:52:370 | PARSED-STRING: BatteryVoltageThresholdRising:-2933
             | RAW-STRING   : #57-2933

20:22:52:434 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

20:22:52:497 | PARSED-STRING: 57279616
             | RAW-STRING   : #5957279616

20:22:52:609 | PARSED-STRING: 200781
             | RAW-STRING   : #00200781

20:22:52:673 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

20:22:52:737 | PARSED-STRING: DriverSetCurrent:20880
             | RAW-STRING   : #0220880

20:22:52:785 | PARSED-STRING: VehicleVelocity:4350
             | RAW-STRING   : #034350

20:22:52:849 | PARSED-STRING: BusCurrentA:123837
             | RAW-STRING   : #04123837

20:22:52:912 | PARSED-STRING: BusVoltage:203253
             | RAW-STRING   : #05203253

20:22:52:977 | PARSED-STRING: MotorVelocityRpm:506
             | RAW-STRING   : #06506

20:22:53:041 | PARSED-STRING: MotorVoltageReal:-7
             | RAW-STRING   : #07-7

20:22:53:105 | PARSED-STRING: MotorCurrentReal:10980
             | RAW-STRING   : #0810980

20:22:53:169 | PARSED-STRING: BackEmfImaginary:27662
             | RAW-STRING   : #0927662

20:22:53:233 | PARSED-STRING: DspBoardTemp:31034
             | RAW-STRING   : #1131034

20:22:53:297 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

20:22:53:345 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

20:22:53:424 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

20:22:53:489 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

20:22:53:553 | PARSED-STRING: Mod0CellVoltage1:3891
             | RAW-STRING   : #183891

20:22:53:601 | PARSED-STRING: Mod0CellVoltage2:3898
             | RAW-STRING   : #193898

