|======================Sat Nov 22 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
16:44:38:592|PARSED-STRING: Mod0CellVoltage0:164
            |RAW-STRING:    #17164

16:44:38:655|PARSED-STRING: Mod0CellVoltage1:3897
            |RAW-STRING:    #183897

16:44:38:738|PARSED-STRING: Mod0CellVoltage2:3903
            |RAW-STRING:    #193903

16:44:38:783|PARSED-STRING: Mod0PcbTemperature:3897
            |RAW-STRING:    #203897

16:44:38:848|PARSED-STRING: Mod0CellVoltage4:3903
            |RAW-STRING:    #213903

16:44:38:911|PARSED-STRING: Mod0CellVoltage5:8206
            |RAW-STRING:    #228206

16:44:38:960|PARSED-STRING: Mod0CellVoltage6:3909
            |RAW-STRING:    #233909

16:44:39:023|PARSED-STRING: Mod0CellVoltage7:8206
            |RAW-STRING:    #248206

16:44:39:087|PARSED-STRING: Mod1PcbTemperature:3909
            |RAW-STRING:    #253909

16:44:39:152|PARSED-STRING: Mod1CellTemperature:9737
            |RAW-STRING:    #269737

16:44:39:215|PARSED-STRING: Mod1CellVoltage0:167
            |RAW-STRING:    #27167

16:44:39:279|PARSED-STRING: Mod1CellVoltage1:3899
            |RAW-STRING:    #283899

16:44:39:343|PARSED-STRING: Mod1CellVoltage2:3896
            |RAW-STRING:    #293896

16:44:39:407|PARSED-STRING: Mod1CellVoltage3:3899
            |RAW-STRING:    #303899

16:44:39:471|PARSED-STRING: Mod1CellVoltage4:3896
            |RAW-STRING:    #313896

16:44:39:519|PARSED-STRING: Mod1CellVoltage5:3906
            |RAW-STRING:    #323906

16:44:39:583|PARSED-STRING: Mod1CellVoltage6:3917
            |RAW-STRING:    #333917

16:44:39:647|PARSED-STRING: Mod1CellVoltage7:3906
            |RAW-STRING:    #343906

16:44:39:711|PARSED-STRING: Mod2PcbTemperature:3917
            |RAW-STRING:    #353917

