|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
18:17:44:115 | PARSED-STRING: Mod2CellVoltage7:3796
             | RAW-STRING   : #443796

18:17:44:163 | PARSED-STRING: Mod3PcbTemperature:3837
             | RAW-STRING   : #453837

18:17:44:227 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

18:17:44:291 | PARSED-STRING: Mod3CellVoltage0:181
             | RAW-STRING   : #47181

18:17:44:340 | PARSED-STRING: Mod3CellVoltage1:3848
             | RAW-STRING   : #483848

18:17:44:403 | PARSED-STRING: Mod3CellVoltage2:3848
             | RAW-STRING   : #493848

18:17:44:467 | PARSED-STRING: Mod3CellVoltage3:3848
             | RAW-STRING   : #503848

18:17:44:531 | PARSED-STRING: Mod3CellVoltage4:3848
             | RAW-STRING   : #513848

18:17:44:595 | PARSED-STRING: Mod3CellVoltage5:3851
             | RAW-STRING   : #523851

18:17:44:659 | PARSED-STRING: Mod3CellVoltage6:3812
             | RAW-STRING   : #533812

18:17:44:707 | PARSED-STRING: Mod3CellVoltage7:3851
             | RAW-STRING   : #543851

18:17:44:787 | PARSED-STRING: BatteryVoltage:3812
             | RAW-STRING   : #553812

18:17:44:850 | PARSED-STRING: BatteryCurrent:122201
             | RAW-STRING   : #56122201

18:17:44:931 | PARSED-STRING: BatteryVoltageThresholdRising:-23855
             | RAW-STRING   : #57-23855

18:17:44:979 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

18:17:45:043 | PARSED-STRING: 57279624
             | RAW-STRING   : #5957279624

18:17:45:171 | PARSED-STRING: 252307
             | RAW-STRING   : #00252307

18:17:45:218 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

18:17:45:283 | PARSED-STRING: DriverSetCurrent:21933
             | RAW-STRING   : #0221933

18:17:45:347 | PARSED-STRING: VehicleVelocity:26824
             | RAW-STRING   : #0326824

18:17:45:410 | PARSED-STRING: BusCurrentA:120124
             | RAW-STRING   : #04120124

18:17:45:474 | PARSED-STRING: BusVoltage:213507
             | RAW-STRING   : #05213507

18:17:45:522 | PARSED-STRING: MotorVelocityRpm:2520
             | RAW-STRING   : #062520

18:17:45:602 | PARSED-STRING: MotorVoltageReal:-51
             | RAW-STRING   : #07-51

18:17:45:666 | PARSED-STRING: MotorCurrentReal:11534
             | RAW-STRING   : #0811534

18:17:45:730 | PARSED-STRING: BackEmfImaginary:28120
             | RAW-STRING   : #0928120

18:17:45:778 | PARSED-STRING: DspBoardTemp:31122
             | RAW-STRING   : #1131122

18:17:45:842 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

18:17:45:923 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

18:17:45:971 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

18:17:46:034 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

18:17:46:098 | PARSED-STRING: Mod0CellVoltage1:3841
             | RAW-STRING   : #183841

18:17:46:162 | PARSED-STRING: Mod0CellVoltage2:3859
             | RAW-STRING   : #193859

18:17:46:226 | PARSED-STRING: Mod0PcbTemperature:3841
             | RAW-STRING   : #203841

18:17:46:290 | PARSED-STRING: Mod0CellVoltage4:3859
             | RAW-STRING   : #213859

18:17:46:355 | PARSED-STRING: Mod0CellVoltage5:3869
             | RAW-STRING   : #223869

18:17:46:403 | PARSED-STRING: Mod0CellVoltage6:3863
             | RAW-STRING   : #233863

18:17:46:482 | PARSED-STRING: Mod0CellVoltage7:3869
             | RAW-STRING   : #243869

18:17:46:546 | PARSED-STRING: Mod1PcbTemperature:3863
             | RAW-STRING   : #253863

18:17:46:610 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

18:17:46:658 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

18:17:46:722 | PARSED-STRING: Mod1CellVoltage1:3858
             | RAW-STRING   : #283858

18:17:46:786 | PARSED-STRING: Mod1CellVoltage2:3807
             | RAW-STRING   : #293807

18:17:46:850 | PARSED-STRING: Mod1CellVoltage3:3858
             | RAW-STRING   : #303858

18:17:46:914 | PARSED-STRING: Mod1CellVoltage4:3807
             | RAW-STRING   : #313807

18:17:46:978 | PARSED-STRING: Mod1CellVoltage5:3864
             | RAW-STRING   : #323864

18:17:47:058 | PARSED-STRING: Mod1CellVoltage6:-3870
             | RAW-STRING   : #33-3870

18:17:47:106 | PARSED-STRING: Mod1CellVoltage7:3864
             | RAW-STRING   : #343864

18:17:47:154 | PARSED-STRING: Mod2PcbTemperature:-3870
             | RAW-STRING   : #35-3870

18:17:47:234 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

18:17:47:298 | PARSED-STRING: Mod2CellVoltage0:176
             | RAW-STRING   : #37176

18:17:47:345 | PARSED-STRING: Mod2CellVoltage1:3850
             | RAW-STRING   : #383850

18:17:47:409 | PARSED-STRING: Mod2CellVoltage2:3852
             | RAW-STRING   : #393852

18:17:47:490 | PARSED-STRING: Mod2CellVoltage3:3850
             | RAW-STRING   : #403850

18:17:47:537 | PARSED-STRING: Mod2CellVoltage4:3852
             | RAW-STRING   : #413852

18:17:47:601 | PARSED-STRING: Mod2CellVoltage5:3790
             | RAW-STRING   : #423790

18:17:47:681 | PARSED-STRING: Mod2CellVoltage6:3834
             | RAW-STRING   : #433834

18:17:47:729 | PARSED-STRING: Mod2CellVoltage7:3790
             | RAW-STRING   : #443790

18:17:47:777 | PARSED-STRING: Mod3PcbTemperature:3834
             | RAW-STRING   : #453834

18:17:47:857 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

18:17:47:905 | PARSED-STRING: Mod3CellVoltage0:181
             | RAW-STRING   : #47181

18:17:47:985 | PARSED-STRING: Mod3CellVoltage1:3845
             | RAW-STRING   : #483845

18:17:48:049 | PARSED-STRING: Mod3CellVoltage2:3845
             | RAW-STRING   : #493845

18:17:48:098 | PARSED-STRING: Mod3CellVoltage3:3845
             | RAW-STRING   : #503845

18:17:48:161 | PARSED-STRING: Mod3CellVoltage4:3845
             | RAW-STRING   : #513845

18:17:48:225 | PARSED-STRING: Mod3CellVoltage5:3848
             | RAW-STRING   : #523848

18:17:48:289 | PARSED-STRING: Mod3CellVoltage6:3804
             | RAW-STRING   : #533804

18:17:48:353 | PARSED-STRING: Mod3CellVoltage7:3848
             | RAW-STRING   : #543848

18:17:48:417 | PARSED-STRING: BatteryVoltage:3804
             | RAW-STRING   : #553804

18:17:48:481 | PARSED-STRING: BatteryCurrent:122121
             | RAW-STRING   : #56122121

18:17:48:529 | PARSED-STRING: BatteryVoltageThresholdRising:-25412
             | RAW-STRING   : #57-25412

18:17:48:593 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

18:17:48:673 | PARSED-STRING: 57279624
             | RAW-STRING   : #5957279624

18:17:48:785 | PARSED-STRING: 234774
             | RAW-STRING   : #00234774

18:17:48:848 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

18:17:48:929 | PARSED-STRING: DriverSetCurrent:23421
             | RAW-STRING   : #0223421

18:17:48:977 | PARSED-STRING: VehicleVelocity:13379
             | RAW-STRING   : #0313379

18:17:49:040 | PARSED-STRING: BusCurrentA:122282
             | RAW-STRING   : #04122282

18:17:49:105 | PARSED-STRING: BusVoltage:227990
             | RAW-STRING   : #05227990

18:17:49:169 | PARSED-STRING: MotorVelocityRpm:1521
             | RAW-STRING   : #061521

18:17:49:232 | PARSED-STRING: MotorVoltageReal:-35
             | RAW-STRING   : #07-35

18:17:49:281 | PARSED-STRING: MotorCurrentReal:12317
             | RAW-STRING   : #0812317

18:17:49:344 | PARSED-STRING: BackEmfImaginary:28308
             | RAW-STRING   : #0928308

18:17:49:408 | PARSED-STRING: DspBoardTemp:31177
             | RAW-STRING   : #1131177

18:17:49:473 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

18:17:49:537 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

18:17:49:584 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

18:17:49:664 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

18:17:49:728 | PARSED-STRING: Mod0CellVoltage1:3864
