|======================Sat Nov 22 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
PARSED-STRING: Mod0CellTemperature:3038RAW-STRING:    #163038
PARSED-STRING: Mod0CellVoltage0:159RAW-STRING:    #17159
PARSED-STRING: Mod0CellVoltage1:3829RAW-STRING:    #183829
PARSED-STRING: Mod0CellVoltage2:3849RAW-STRING:    #193849
PARSED-STRING: Mod0PcbTemperature:3829RAW-STRING:    #203829
PARSED-STRING: Mod0CellVoltage4:3849RAW-STRING:    #213849
PARSED-STRING: Mod0CellVoltage5:3859RAW-STRING:    #223859
PARSED-STRING: Mod0CellVoltage6:3853RAW-STRING:    #233853
PARSED-STRING: Mod0CellVoltage7:3859RAW-STRING:    #243859
PARSED-STRING: Mod1PcbTemperature:3853RAW-STRING:    #253853
PARSED-STRING: Mod1CellTemperature:9737RAW-STRING:    #269737
PARSED-STRING: Mod1CellVoltage0:165RAW-STRING:    #27165
PARSED-STRING: Mod1CellVoltage1:3848RAW-STRING:    #283848
PARSED-STRING: Mod1CellVoltage2:3783RAW-STRING:    #293783
PARSED-STRING: Mod1CellVoltage3:3848RAW-STRING:    #303848
PARSED-STRING: Mod1CellVoltage4:3783RAW-STRING:    #313783
PARSED-STRING: Mod1CellVoltage5:3854RAW-STRING:    #323854
PARSED-STRING: Mod1CellVoltage6:3860RAW-STRING:    #333860
PARSED-STRING: Mod1CellVoltage7:3854RAW-STRING:    #343854
PARSED-STRING: Mod2PcbTemperature:3860RAW-STRING:    #353860
PARSED-STRING: Mod2CellTemperature:3035RAW-STRING:    #363035
PARSED-STRING: Mod2CellVoltage0:176RAW-STRING:    #37176
PARSED-STRING: Mod2CellVoltage1:3840RAW-STRING:    #383840
PARSED-STRING: Mod2CellVoltage2:3841RAW-STRING:    #393841
PARSED-STRING: Mod2CellVoltage3:3840RAW-STRING:    #403840
PARSED-STRING: Mod2CellVoltage4:3841RAW-STRING:    #413841
PARSED-STRING: Mod2CellVoltage5:3763RAW-STRING:    #423763
PARSED-STRING: Mod2CellVoltage6:3824RAW-STRING:    #433824
PARSED-STRING: Mod2CellVoltage7:3763RAW-STRING:    #443763
PARSED-STRING: Mod3PcbTemperature:3824RAW-STRING:    #453824
PARSED-STRING: Mod3CellTemperature:3039RAW-STRING:    #463039
PARSED-STRING: Mod3CellVoltage0:180RAW-STRING:    #47180
PARSED-STRING: Mod3CellVoltage1:3835RAW-STRING:    #483835
PARSED-STRING: Mod3CellVoltage2:3833RAW-STRING:    #493833
PARSED-STRING: Mod3CellVoltage3:3835RAW-STRING:    #503835
PARSED-STRING: Mod3CellVoltage4:3833RAW-STRING:    #513833
PARSED-STRING: Mod3CellVoltage5:3838RAW-STRING:    #523838
PARSED-STRING: Mod3CellVoltage6:3777RAW-STRING:    #533777
PARSED-STRING: Mod3CellVoltage7:3838RAW-STRING:    #543838
